instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
29.98674237,2/1/2011,springer,2011,1,5.998071996,No,0.009907721,No work,Light Snow,0.42,0.4242,0.77,0.2985,0,2,2.005615929
31.00328835,2/1/2011,springer,2011,1,7.018057791,No,-0.003303233,No work,Mist,0.4,0.4091,0.76,0.194,0,1,0.989338351
32.01384986,2/1/2011,springer,2011,1,8.018889061,No,0.010646336,No work,Light Snow,0.4,0.4091,0.71,0.2239,0,8,8.008740868
33.00165789,2/1/2011,springer,2011,1,9.014681331,No,0.00715548,No work,Mist,0.38,0.3939,0.76,0.2239,1,19,19.99238924
33.99554332,2/1/2011,springer,2011,1,9.978374707,No,-0.021325276,No work,Mist,0.36,0.3485,0.81,0.2239,7,46,52.99540752
34.98301072,2/1/2011,springer,2011,1,11.00143259,No,-0.004870592,No work,Mist,0.36,0.3333,0.71,0.2537,16,54,70.00101313
36.00077222,2/1/2011,springer,2011,1,11.97957779,No,0.007557887,No work,Mist,0.36,0.3333,0.66,0.2985,20,73,93.00424947
37.01523784,2/1/2011,springer,2011,1,12.99004145,No,-0.01150395,No work,Mist,0.36,0.3485,0.66,0.1343,11,64,75.00791569
37.9899546,2/1/2011,springer,2011,1,13.99129087,No,0.002665655,No work,Light Snow,0.36,0.3485,0.76,0.194,4,55,58.99044125
38.98557442,2/1/2011,springer,2011,1,15.01206501,No,-0.012695094,No work,Light Snow,0.34,0.3333,0.81,0.1642,19,55,73.99728716
39.97590644,2/1/2011,springer,2011,1,16.00184208,No,0.014370714,No work,Light Snow,0.34,0.3333,0.71,0.1642,9,67,76.00518875
40.98289731,2/1/2011,springer,2011,1,17.00836808,No,-0.008876698,No work,Clear,0.34,0.3333,0.57,0.194,7,58,65.00230075
41.9944904,2/1/2011,springer,2011,1,18.00276947,No,-0.007478171,No work,Mist,0.36,0.3333,0.46,0.3284,10,43,53.01395281
43.00260358,2/1/2011,?,2011,1,19.00470905,No,-0.004450574,No work,Clear,0.32,0.2879,0.42,0.4478,1,29,29.9796971
43.96872094,2/1/2011,springer,2011,1,19.99887153,No,0.00272124,No work,Clear,0.3,0.2727,0.39,0.3582,5,17,21.99706515
44.98985777,2/1/2011,springer,2011,1,20.98072555,No,0.013176928,No work,Clear,0.26,0.2273,0.44,0.3284,11,20,30.99355697
46.000825,2/1/2011,springer,2011,1,22.00246321,No,-0.017349822,No work,Clear,0.24,0.2121,0.44,0.2985,0,9,9.000557768
46.99085042,2/1/2011,springer,2011,1,22.99052882,No,-0.000208743,No work,Clear,0.22,0.2273,0.47,0.1642,0,8,7.999039364
48.00227203,3/1/2011,springer,2011,1,0.016834151,No,1.007914421,Working Day,Clear,0.22,0.197,0.44,0.3582,0,5,4.985518177
49.00266022,3/1/2011,springer,2011,1,0.993825207,No,1.006422278,Working Day,Clear,0.2,0.1667,0.44,0.4179,0,2,2.005729455
49.99292428,3/1/2011,springer,2011,1,4.004285568,No,0.990925352,Working Day,Clear,0.16,0.1364,0.47,0.3881,0,1,0.977590419
50.98367874,3/1/2011,springer,2011,1,5.004801226,No,0.992020414,Working Day,Clear,0.16,0.1364,0.47,0.2836,0,3,2.99472179
51.98859107,3/1/2011,springer,2011,1,5.994627984,No,1.011673169,Working Day,Clear,0.14,0.1061,0.5,0.3881,0,30,30.00816238
53.00307802,3/1/2011,springer,2011,1,7.005138718,No,0.987133896,Working Day,Clear,0.14,0.1364,0.5,0.194,1,63,64.00493951
53.99634126,3/1/2011,springer,2011,1,8.011622302,No,1.003649412,Working Day,Clear,0.14,0.1212,0.5,0.2836,1,153,153.9892347
55.00914246,3/1/2011,springer,2011,1,8.983413283,No,1.016069272,Working Day,Clear,0.16,0.1364,0.43,0.3881,7,81,87.99778127
55.987138,3/1/2011,springer,2011,1,9.980976768,No,1.002311626,Working Day,Clear,0.18,0.1667,0.43,0.2537,11,33,44.00990817
56.99625468,3/1/2011,springer,2011,1,10.99318288,No,0.998769344,Working Day,Clear,0.2,0.1818,0.4,0.3284,10,41,50.99416126
58.01692486,3/1/2011,springer,2011,1,12.00701771,No,0.999426857,Working Day,Clear,0.22,0.2121,0.35,0.2985,13,48,61.00070082
58.987626,3/1/2011,springer,2011,1,13.00701194,No,1.0055459,Working Day,Clear,0.24,0.2121,0.35,0.2836,8,53,61.01248685
59.99397668,3/1/2011,springer,2011,1,13.99434102,No,1.011849074,Working Day,Clear,0.26,0.2424,0.3,0.2836,11,66,77.01683227
60.9799937,3/1/2011,springer,2011,1,14.9999972,No,1.004711236,Working Day,Clear,0.26,0.2424,0.3,0.2537,14,58,72.00798568
62.002089,3/1/2011,springer,2011,1,16.00663298,No,0.975330552,Working Day,Clear,0.26,0.2424,0.3,0.2537,9,67,75.97798784
62.98893419,3/1/2011,springer,2011,1,16.98668988,No,1.024137112,Working Day,Clear,0.24,0.2273,0.3,0.2239,11,146,156.988191
63.99969993,3/1/2011,springer,2011,1,18.00862598,No,1.002921533,Working Day,Clear,0.24,0.2576,0.32,0.1045,9,148,157.0185758
65.01140964,3/1/2011,springer,2011,1,19.00333575,No,1.005696184,Working Day,Clear,0.2,0.2576,0.47,0,8,102,109.9978419
65.99515563,3/1/2011,springer,2011,1,20.01381508,No,1.014542951,Working Day,Clear,0.2,0.2273,0.47,0.1045,3,49,52.01891005
67.00544151,3/1/2011,springer,2011,1,20.97819024,No,0.993065689,Working Day,Clear,0.18,0.197,0.64,0.1343,3,49,51.99065605
67.98136808,3/1/2011,springer,2011,1,21.98814623,No,1.004014342,Working Day,Clear,0.14,0.1515,0.69,0.1343,0,20,19.99591654
68.99284387,3/1/2011,springer,2011,1,23.0134013,No,0.989469029,Working Day,Clear,0.18,0.2121,0.55,0.1045,1,11,12.01137041
69.9917306,4/1/2011,springer,2011,1,0.000509623,No,2.0179684,Working Day,Clear,0.16,0.1818,0.55,0.1045,0,5,5.026698347
70.98991899,4/1/2011,springer,2011,1,1.009611407,No,1.993359982,Working Day,Clear,0.16,0.1818,0.59,0.1045,0,2,1.995429912
71.9928284,4/1/2011,springer,2011,1,2.008427053,No,1.991604729,Working Day,Clear,0.14,0.1515,0.63,0.1343,0,1,0.991308615
72.9843409,4/1/2011,springer,2011,1,3.99161552,No,2.004972253,Working Day,Clear,0.14,0.1818,0.63,0.0896,0,2,1.970482135
74.0006551,4/1/2011,springer,2011,1,5.001314079,No,2.000909876,Working Day,Clear,0.12,0.1515,0.68,0.1045,0,4,3.997006484
75.00913901,4/1/2011,springer,2011,1,5.99994528,No,1.997249512,Working Day,Clear,0.12,0.1515,0.74,0.1045,0,36,36.00263548
75.99482446,4/1/2011,springer,2011,1,7.002393911,No,1.995195672,Working Day,Clear,0.12,0.1515,0.74,0.1343,2,92,93.98539762
77.02036039,4/1/2011,springer,2011,1,8.014498573,No,1.992784891,Working Day,Clear,0.14,0.1515,0.69,0.1642,2,177,178.998136
78.0037034,4/1/2011,springer,2011,1,9.007084177,No,1.979742784,Working Day,Clear,0.16,0.1515,0.64,0.2239,2,98,100.0238468
78.99806533,4/1/2011,springer,2011,1,10.0047819,No,2.005092712,Working Day,Mist,0.16,0.1364,0.69,0.3284,5,37,42.00447397
79.9944001,4/1/2011,springer,2011,1,10.98868932,No,2.006192523,Working Day,Clear,0.22,0.2121,0.51,0.2985,7,50,57.01305674
80.99695562,4/1/2011,springer,2011,1,11.99042988,No,2.001648486,Working Day,Clear,0.22,0.2273,0.51,0.1642,12,66,77.99662197
81.99825871,4/1/2011,springer,2011,1,12.99787403,No,2.003391904,Working Day,Clear,0.24,0.2273,0.56,0.194,18,79,96.99051234
82.99250354,4/1/2011,?,2011,1,14.00615334,No,2.018299932,Working Day,Clear,0.26,0.2576,0.52,0.2239,9,54,62.99267979
84.00355679,4/1/2011,springer,2011,1,14.99414367,No,1.988624292,Working Day,Clear,0.28,0.2727,0.52,0.2537,17,48,64.98329401
84.99833453,4/1/2011,springer,2011,1,15.98780577,No,1.994520876,Working Day,Clear,0.3,0.2879,0.49,0.2537,15,68,82.99827943
86.0015159,4/1/2011,springer,2011,1,16.99647072,No,1.997331911,Working Day,Clear,0.28,0.2727,0.48,0.2239,10,202,211.9840795
87.00164147,4/1/2011,springer,2011,1,17.99846359,No,2.003464752,Working Day,Clear,0.26,0.2576,0.48,0.194,3,179,182.0264479
87.99197115,4/1/2011,springer,2011,1,19.00384537,No,2.022777686,Working Day,Clear,0.24,0.2576,0.48,0.1045,2,110,112.0113441
89.0078836,4/1/2011,springer,2011,1,19.98517395,No,1.993174045,Working Day,Clear,0.24,0.2576,0.48,0.1045,1,53,54.00025742
90.01393583,4/1/2011,springer,2011,1,20.99422128,No,1.996092953,Working Day,Clear,0.22,0.2727,0.64,0,0,48,47.97500784
91.00830665,4/1/2011,springer,2011,1,21.99457943,No,2.00605538,Working Day,Clear,0.22,0.2576,0.64,0.0896,1,34,35.00093512
91.99538835,4/1/2011,springer,2011,1,22.99892974,No,2.003512163,Working Day,Clear,0.2,0.2273,0.69,0.0896,2,9,11.00450782
93.00674496,5/1/2011,springer,2011,1,0.002256777,No,3.014613597,Working Day,Clear,0.2,0.2576,0.64,0,0,6,6.004517294
93.98736935,5/1/2011,springer,2011,1,1.000371563,No,2.996282478,Working Day,Clear,0.16,0.197,0.74,0.0896,0,6,6.011336922
94.99856816,5/1/2011,springer,2011,1,2.001087752,No,3.006649994,Working Day,Clear,0.16,0.197,0.74,0.0896,0,2,2.012105762
96.00868896,5/1/2011,springer,2011,1,4.018041016,No,3.005806507,Working Day,Clear,0.24,0.2273,0.48,0.2239,0,2,1.987764427
97.00444505,5/1/2011,springer,2011,1,4.993864091,No,2.992210998,Working Day,Clear,0.22,0.2273,0.47,0.1642,0,3,2.997760232
97.98862256,5/1/2011,springer,2011,1,5.997579898,No,2.982302152,Working Day,Clear,0.2,0.197,0.47,0.2239,0,33,33.00515738
99.00400675,5/1/2011,springer,2011,1,7.0018401,No,2.991663569,Working Day,Clear,0.18,0.1818,0.43,0.194,1,87,87.98177088
99.99247582,5/1/2011,springer,2011,1,8.012481376,No,2.984877501,Working Day,Clear,0.2,0.1818,0.4,0.2985,3,192,194.9973439
100.9930477,5/1/2011,springer,2011,1,8.990678417,No,3.008608306,Working Day,Clear,0.22,0.197,0.37,0.3284,6,109,115.0094131
102.0156607,5/1/2011,springer,2011,1,10.00129534,No,3.003690646,Working Day,Clear,0.22,0.197,0.37,0.3284,4,53,56.99797995
103.0052391,5/1/2011,springer,2011,1,11.01099087,No,3.001169643,Working Day,Clear,0.26,0.2273,0.33,0.3284,12,34,46.00788225
103.9929081,5/1/2011,springer,2011,1,12.00497007,No,3.000746844,Working Day,Clear,0.26,0.2273,0.33,0.3284,5,74,79.02187886
104.9988152,5/1/2011,springer,2011,1,12.98524085,No,3.011444874,Working Day,Clear,0.28,0.2576,0.3,0.2985,6,65,71.0147095
105.9852962,5/1/2011,springer,2011,1,14.00931212,No,2.998576202,Working Day,Clear,0.3,0.2879,0.28,0.194,10,52,61.99322693
106.9929874,5/1/2011,springer,2011,1,15.00568044,No,2.989149059,Working Day,Clear,0.3,0.2879,0.28,0.194,7,55,62.01033766
107.9744915,5/1/2011,springer,2011,1,16.00214977,No,2.993877873,Working Day,Clear,0.3,0.3182,0.28,0.0896,4,85,88.98647891
108.9919791,5/1/2011,springer,2011,1,17.01423716,No,2.993309175,Working Day,Clear,0.24,0.2273,0.38,0.194,4,186,190.0015698
109.9927791,5/1/2011,springer,2011,1,17.98825901,No,2.995189627,Working Day,Clear,0.24,0.2424,0.38,0.1343,3,166,168.9829172
110.987644,5/1/2011,springer,2011,1,19.00227507,No,2.974303378,Working Day,Clear,0.24,0.2576,0.38,0.1045,5,127,131.9979531
111.9930972,5/1/2011,springer,2011,1,19.9831396,No,2.994002863,Working Day,Clear,0.22,0.2273,0.47,0.1642,7,82,89.0045917
113.0224983,5/1/2011,springer,2011,1,20.99985891,No,3.007791153,Working Day,Clear,0.2,0.197,0.51,0.194,3,40,43.00237692
113.9995567,5/1/2011,springer,2011,1,21.97944115,No,2.999296137,Working Day,Clear,0.18,0.197,0.55,0.1343,1,41,41.99704284
114.9967873,5/1/2011,springer,2011,1,23.02278189,No,2.993232187,Working Day,Clear,0.2,0.2576,0.47,0,1,18,18.999612
116.0223072,6/1/2011,springer,2011,1,0.017161555,No,4.000925902,Working Day,Clear,0.18,0.2424,0.55,0,0,11,11.00680916
116.9987284,6/1/2011,springer,2011,1,1.013737758,No,3.990512182,Working Day,Clear,0.16,0.2273,0.64,0,0,4,4.005483615
117.976671,6/1/2011,springer,2011,1,2.015625009,No,4.011206733,Working Day,Clear,0.16,0.2273,0.64,0,0,2,2.009957892
118.9927022,6/1/2011,springer,2011,1,4.020107749,No,3.994016061,Working Day,Mist,0.16,0.197,0.64,0.0896,0,1,0.995473789
120.0023499,6/1/2011,springer,2011,1,4.998643733,No,3.995330988,Working Day,Mist,0.14,0.1818,0.69,0.0896,0,4,3.996537656
121.006473,6/1/2011,springer,2011,1,6.000034097,No,3.976282352,Working Day,Mist,0.14,0.1667,0.63,0.1045,0,36,35.98524073
121.9926063,6/1/2011,springer,2011,1,7.0088919,No,4.002461611,Working Day,Mist,0.16,0.2273,0.59,0,0,95,95.01166623
123.0026021,6/1/2011,springer,2011,1,8.006894783,No,3.985978239,Working Day,Clear,0.16,0.2273,0.59,0,3,216,219.0145158
123.9978764,6/1/2011,springer,2011,1,8.999582526,No,3.981234598,Working Day,Mist,0.18,0.2424,0.51,0,6,116,121.9866787
124.9911363,6/1/2011,springer,2011,1,10.01408612,No,3.989590723,Working Day,Clear,0.2,0.2576,0.47,0,3,42,44.97723684
126.0107417,6/1/2011,springer,2011,1,10.99937284,No,3.986697304,Working Day,Clear,0.22,0.2576,0.44,0.0896,2,57,59.00815529
126.9977257,6/1/2011,springer,2011,1,11.98586186,No,4.004447065,Working Day,Clear,0.26,0.2879,0.35,0,6,78,84.00545092
127.9931643,6/1/2011,springer,2011,1,13.00641759,No,3.998244764,Working Day,Clear,0.26,0.2727,0.35,0.1045,12,55,66.99333517
129.0033076,6/1/2011,springer,2011,1,13.98565415,No,4.004042283,Working Day,Clear,0.28,0.2727,0.36,0.1642,11,59,70.01840152
130.0256873,6/1/2011,springer,2011,1,15.00220401,No,3.998520707,Working Day,Clear,0.28,0.2727,0.36,0,8,54,61.99609063
131.00406,6/1/2011,springer,2011,1,15.98587102,No,4.001798726,Working Day,Clear,0.26,0.2576,0.38,0.1642,12,74,85.99629608
132.0187675,6/1/2011,springer,2011,1,16.99263983,No,4.009806401,Working Day,Clear,0.22,0.2273,0.51,0.1642,9,163,172.0029002
132.9976635,6/1/2011,springer,2011,1,18.00880701,No,4.013322447,Working Day,Clear,0.22,0.2273,0.51,0.1343,5,158,163.000854
133.9996985,6/1/2011,springer,2011,1,19.01697582,No,3.992982846,Working Day,Clear,0.22,0.2576,0.55,0.0896,3,109,111.9933402
134.9992793,6/1/2011,springer,2011,1,19.9952698,No,3.998288428,Working Day,Clear,0.2,0.2121,0.51,0.1642,3,66,68.99132755
135.9876377,6/1/2011,springer,2011,1,21.00507604,No,3.988203495,Working Day,Mist,0.22,0.2121,0.55,0.2239,0,48,47.99886719
136.9940286,6/1/2011,springer,2011,1,21.98033299,No,3.996102074,Working Day,Mist,0.22,0.2121,0.51,0.2836,1,51,51.99461072
138.0048975,6/1/2011,springer,2011,1,23.00133821,No,3.984277219,Working Day,Mist,0.2,0.197,0.59,0.194,4,19,23.00405259
138.9973513,7/1/2011,springer,2011,1,0.010238714,No,5.013841278,Working Day,Mist,0.2,0.197,0.64,0.194,4,13,17.00749643
139.9915548,7/1/2011,springer,2011,1,1.019105837,No,4.993299639,Working Day,Mist,0.2,0.197,0.69,0.2239,2,5,6.996310292
140.9862182,7/1/2011,springer,2011,1,2.030103576,No,5.00885641,Working Day,Mist,0.2,0.197,0.69,0.2239,0,1,0.992658348
142.0046629,7/1/2011,springer,2011,1,3.991821852,No,4.99901106,Working Day,Mist,0.2,0.2121,0.69,0.1343,0,1,0.997235926
142.9971378,7/1/2011,springer,2011,1,5.000898422,No,4.985975917,Working Day,Light Snow,0.22,0.2727,0.55,0,0,5,4.981172828
144.012531,7/1/2011,springer,2011,1,5.98544647,No,5.002884572,Working Day,Mist,0.2,0.2576,0.69,0,8,26,34.01487042
145.0052024,7/1/2011,?,2011,1,6.997629816,No,4.994644995,Working Day,Clear,0.2,0.2121,0.69,0.1343,8,76,83.9918018
146.0043132,7/1/2011,springer,2011,1,8.012805586,No,4.984467068,Working Day,Clear,0.2,0.197,0.51,0.2537,20,190,210.0074691
146.9943376,7/1/2011,springer,2011,1,8.987120941,No,5.006764593,Working Day,Clear,0.2,0.1818,0.47,0.2985,9,125,133.9998299
148.0068729,7/1/2011,springer,2011,1,10.01082478,No,5.000955965,Working Day,Clear,0.22,0.197,0.37,0.3284,16,47,62.99663904
149.0072755,7/1/2011,springer,2011,1,11.0033307,No,5.003457839,Working Day,Mist,0.2,0.197,0.4,0.2239,19,48,66.99064571
150.007479,7/1/2011,springer,2011,1,11.99107818,No,4.99702257,Working Day,Mist,0.2,0.197,0.37,0.2537,9,50,59.00835401
150.9945376,7/1/2011,springer,2011,1,12.99158628,No,5.011468272,Working Day,Mist,0.2,0.1818,0.37,0.2836,9,64,72.98522363
151.9941456,7/1/2011,springer,2011,1,14.01772764,No,4.998553557,Working Day,Mist,0.2,0.197,0.4,0.2537,7,43,49.9896092
152.9769298,7/1/2011,springer,2011,1,15.00741191,No,5.008223555,Working Day,Mist,0.2,0.2121,0.37,0.1642,9,63,71.99765853
153.983325,7/1/2011,springer,2011,1,16.006596,No,4.990809748,Working Day,Mist,0.2,0.2121,0.37,0.1642,5,82,86.99524469
155.0052006,7/1/2011,springer,2011,1,17.01136951,No,5.007001935,Working Day,Mist,0.2,0.2576,0.37,0,9,178,187.002167
155.9875902,7/1/2011,springer,2011,1,18.00771279,No,5.003347335,Working Day,Clear,0.2,0.2273,0.4,0.0896,7,116,122.9883147
157.0025799,7/1/2011,springer,2011,1,18.99987701,No,5.01096342,Working Day,Clear,0.16,0.197,0.55,0.0896,3,92,94.98354208
157.9905545,7/1/2011,springer,2011,1,19.99769554,No,4.994229904,Working Day,Clear,0.18,0.2121,0.47,0.1045,1,50,51.01274186
158.9985361,7/1/2011,springer,2011,1,21.00979475,No,5.001811288,Working Day,Clear,0.18,0.197,0.47,0.1343,0,39,39.01664231
159.998479,7/1/2011,springer,2011,1,21.98202376,No,4.99705984,Working Day,Mist,0.18,0.197,0.43,0.1642,2,34,35.99828136
161.0144131,7/1/2011,springer,2011,1,23.01211739,No,4.994202515,Working Day,Mist,0.18,0.197,0.51,0.1642,1,14,14.98390868
162.0026491,8/1/2011,springer,2011,1,-0.015871295,No,5.993705107,No work,Mist,0.18,0.197,0.51,0.1642,1,24,25.01161254
162.9887987,8/1/2011,springer,2011,1,0.990876519,No,5.978264517,No work,Mist,0.18,0.2121,0.55,0.0896,1,15,16.00257498
164.0056091,8/1/2011,springer,2011,1,1.990535249,No,5.996276294,No work,Mist,0.18,0.2424,0.55,0,3,13,16.01941495
165.0106275,8/1/2011,springer,2011,1,3.010516078,No,5.993141351,No work,Light Snow,0.18,0.197,0.55,0.1642,0,7,6.999712093
166.0046367,8/1/2011,springer,2011,1,3.998308638,No,6.002123152,No work,Light Snow,0.18,0.197,0.55,0.1642,0,1,0.988660703
167.0010768,8/1/2011,springer,2011,1,5.000609844,No,5.997802877,No work,Mist,0.16,0.1667,0.74,0.1642,0,5,5.002158566
168.0071944,8/1/2011,springer,2011,1,6.031387582,No,6.001213114,No work,Mist,0.16,0.1667,0.74,0.1642,0,2,2.011338923
168.9920372,8/1/2011,springer,2011,1,6.997871226,No,6.007863249,No work,Mist,0.16,0.1818,0.74,0.1045,1,8,9.00577825
170.0050776,8/1/2011,springer,2011,1,8.000157149,No,5.992965789,No work,Light Snow,0.16,0.1818,0.93,0.1045,0,15,14.98971275
170.9933922,8/1/2011,springer,2011,1,9.001298269,No,5.992295322,No work,Light Snow,0.16,0.1818,0.93,0.1045,0,20,19.99183611
171.9846776,8/1/2011,springer,2011,1,9.992917437,No,6.003376309,No work,Mist,0.18,0.197,0.8,0.1642,5,56,61.02715056
172.9924609,8/1/2011,springer,2011,1,11.00625833,No,5.998279743,No work,Mist,0.2,0.1818,0.69,0.3881,2,60,62.00279165
174.014003,8/1/2011,springer,2011,1,11.99503215,No,5.999966523,No work,Mist,0.2,0.1818,0.59,0.3582,8,90,97.9927789
175.0028052,8/1/2011,springer,2011,1,13.01590414,No,5.996300534,No work,Clear,0.2,0.1818,0.44,0.3284,7,95,101.9918069
176.0168816,8/1/2011,springer,2011,1,13.98885938,No,6.01798874,No work,Clear,0.2,0.1667,0.32,0.4925,12,83,94.98906667
177.0054266,8/1/2011,springer,2011,1,14.99223732,No,6.010337125,No work,Clear,0.2,0.1667,0.32,0.4478,5,69,73.98501428
178.0072821,8/1/2011,springer,2011,1,16.01964723,No,5.98848664,No work,Clear,0.18,0.1364,0.29,0.4478,8,68,76.01830091
178.9950925,8/1/2011,springer,2011,1,17.00824112,No,6.008933281,No work,Clear,0.16,0.1212,0.37,0.5522,5,64,68.99648679
180.0007973,8/1/2011,springer,2011,1,17.99980751,No,6.010177526,No work,Clear,0.14,0.1212,0.39,0.2985,3,52,55.00865844
180.9993854,8/1/2011,springer,2011,1,18.99088112,No,6.008425772,No work,Clear,0.14,0.1212,0.36,0.2537,4,26,29.99999738
181.9989665,8/1/2011,springer,2011,1,19.99364973,No,5.989841672,No work,Clear,0.12,0.1212,0.36,0.2537,0,28,27.99616052
183.0104663,8/1/2011,springer,2011,1,21.00802135,No,6.012299359,No work,Clear,0.12,0.1061,0.39,0.3582,2,35,37.00584271
183.9876975,8/1/2011,springer,2011,1,22.00809926,No,5.988561242,No work,Clear,0.12,0.1061,0.36,0.3881,1,33,33.98133834
184.992217,8/1/2011,springer,2011,1,23.01740831,No,5.998472819,No work,Clear,0.1,0.0606,0.39,0.4478,0,22,22.00645928
186.0103552,9/1/2011,springer,2011,1,-0.001910274,No,-0.002360153,No work,Clear,0.1,0.0758,0.42,0.3881,1,24,24.98973743
186.9942712,9/1/2011,springer,2011,1,0.990440924,No,-0.004876512,No work,Clear,0.1,0.0606,0.42,0.4627,0,12,12.01736443
188.0114121,9/1/2011,springer,2011,1,2.002777096,No,-0.002474929,No work,Clear,0.1,0.0606,0.46,0.4627,0,11,10.99355372
189.001628,9/1/2011,springer,2011,1,3.014911494,No,0.00101255,No work,Clear,0.1,0.0758,0.46,0.4179,0,4,4.004766243
189.9862142,9/1/2011,springer,2011,1,3.983648057,No,-0.005735471,No work,Clear,0.08,0.0909,0.53,0.194,0,1,0.99958627
191.008603,9/1/2011,springer,2011,1,4.969126162,No,0.005543742,No work,Clear,0.08,0.0909,0.53,0.194,0,1,1.02607349
191.9835358,9/1/2011,springer,2011,1,6.018232721,No,0.006327396,No work,Clear,0.1,0.0909,0.49,0.2836,0,1,1.010368323
192.9853502,9/1/2011,springer,2011,1,7.010893343,No,-0.002886744,No work,Clear,0.08,0.0909,0.53,0.194,1,5,5.99008959
194.0036853,9/1/2011,springer,2011,1,8.004265934,No,-0.015756766,No work,Clear,0.1,0.0909,0.49,0.2836,0,10,9.993980455
194.9656137,9/1/2011,springer,2011,1,9.001107418,No,0.00117419,No work,Clear,0.12,0.0758,0.46,0.5224,0,19,18.98085092
196.0089771,9/1/2011,springer,2011,1,9.999769806,No,-0.018952449,No work,Clear,0.14,0.1061,0.43,0.3881,0,49,48.99624867
